Entity,Code,Year,Per capita CO2 emissions
Germany,DEU,1992,12.079209
India,IND,1992,0.721673
Italy,ITA,1992,7.661734
Japan,JPN,1992,9.412995
Russia,RUS,1992,13.203428
South Korea,KOR,1992,6.43574
United Kingdom,GBR,1992,10.324351
United States,USA,1992,20.16688
Brazil,BRA,1993,1.455752
Canada,CAN,1993,16.37265
China,CHN,1993,2.326679
France,FRA,1993,6.884653
Germany,DEU,1993,11.889158
India,IND,1993,0.731198
Italy,ITA,1993,7.520892
Japan,JPN,1993,9.328417
Russia,RUS,1993,12.532247
South Korea,KOR,1993,7.259226
United Kingdom,GBR,1993,10.048994
United States,USA,1993,20.357557
Brazil,BRA,1994,1.502014
Canada,CAN,1994,16.715865
China,CHN,1994,2.447312
France,FRA,1994,6.78652
Germany,DEU,1994,11.62434
India,IND,1994,0.758382
Italy,ITA,1994,7.420941
Japan,JPN,1994,9.738498
Russia,RUS,1994,11.064444
South Korea,KOR,1994,7.68103
United Kingdom,GBR,1994,9.956337
United States,USA,1994,20.504166
Brazil,BRA,1995,1.577481
Canada,CAN,1995,16.970246
China,CHN,1995,2.631156
France,FRA,1995,6.876155
Germany,DEU,1995,11.574911
India,IND,1995,0.79087
Italy,ITA,1995,7.841552
Japan,JPN,1995,9.812275
Russia,RUS,1995,10.881474
South Korea,KOR,1995,8.257179
United Kingdom,GBR,1995,9.78408
United States,USA,1995,20.511479
Brazil,BRA,1996,1.708197
Canada,CAN,1996,17.337791
China,CHN,1996,2.723113
France,FRA,1996,7.122617
Germany,DEU,1996,11.793863
India,IND,1996,0.840982
Italy,ITA,1996,7.750415
Japan,JPN,1996,9.884934
Russia,RUS,1996,10.675248
South Korea,KOR,1996,8.776412
United Kingdom,GBR,1996,10.125688
United States,USA,1996,20.969727
Brazil,BRA,1997,1.773741
Canada,CAN,1997,17.644717
China,CHN,1997,2.705674
France,FRA,1997,6.976648
Germany,DEU,1997,11.440313
India,IND,1997,0.859156
Italy,ITA,1997,7.873699
Japan,JPN,1997,9.812299
Russia,RUS,1997,9.985495
South Korea,KOR,1997,9.26024
United Kingdom,GBR,1997,9.648263
United States,USA,1997,20.991584
Brazil,BRA,1998,1.815859
Canada,CAN,1998,17.774958
China,CHN,1998,2.56757
France,FRA,1998,7.279874
Germany,DEU,1998,11.342038
India,IND,1998,0.861161
Italy,ITA,1998,8.107594
Japan,JPN,1998,9.482731
Russia,RUS,1998,9.895137
South Korea,KOR,1998,7.797951
United Kingdom,GBR,1998,9.704558
United States,USA,1998,20.899616
Brazil,BRA,1999,1.835447
Canada,CAN,1999,18.135274
China,CHN,1999,2.542409
France,FRA,1999,7.183582
Germany,DEU,1999,11.004336
India,IND,1999,0.91678
Italy,ITA,1999,8.199458
Japan,JPN,1999,9.754609
Russia,RUS,1999,10.115236
South Korea,KOR,1999,8.471941
United Kingdom,GBR,1999,9.55364
United States,USA,1999,20.931034
Brazil,BRA,2000,1.854946
Canada,CAN,2000,18.705443
China,CHN,2000,2.595244
France,FRA,2000,7.053561
Germany,DEU,2000,11.053675
India,IND,2000,0.926036
Italy,ITA,2000,8.262931
Japan,JPN,2000,9.91848
Russia,RUS,2000,10.047828
South Korea,KOR,2000,9.401648
United Kingdom,GBR,2000,9.63128
United States,USA,2000,21.291573
Brazil,BRA,2001,1.879204
Canada,CAN,2001,18.294896
China,CHN,2001,2.63726
France,FRA,2001,7.086894
Germany,DEU,2001,11.250106
India,IND,2001,0.923283
Italy,ITA,2001,8.239875
Japan,JPN,2001,9.789146
Russia,RUS,2001,10.337314
South Korea,KOR,2001,9.402393
United Kingdom,GBR,2001,9.745542
United States,USA,2001,20.731802
Brazil,BRA,2002,1.823763
Canada,CAN,2002,18.309217
China,CHN,2002,2.893206
France,FRA,2002,6.953469
Germany,DEU,2002,11.03601
India,IND,2002,0.935547
Italy,ITA,2002,8.328546
Japan,JPN,2002,10.004089
Russia,RUS,2002,10.298339
South Korea,KOR,2002,9.658917
United Kingdom,GBR,2002,9.444436
United States,USA,2002,20.685996
Brazil,BRA,2003,1.746384
Canada,CAN,2003,18.64768
China,CHN,2003,3.385005
France,FRA,2003,7.014559
Germany,DEU,2003,11.038136
India,IND,2003,0.953121
Italy,ITA,2003,8.584787
Japan,JPN,2003,10.055148
Russia,RUS,2003,10.548228
South Korea,KOR,2003,9.581387
United Kingdom,GBR,2003,9.599748
United States,USA,2003,20.675048
Brazil,BRA,2004,1.813393
Canada,CAN,2004,18.409653
China,CHN,2004,3.874199
France,FRA,2004,6.979317
Germany,DEU,2004,10.863557
India,IND,2004,0.996141
Italy,ITA,2004,8.621857
Japan,JPN,2004,10.00649
Russia,RUS,2004,10.622315
South Korea,KOR,2004,9.869585
United Kingdom,GBR,2004,9.573862
United States,USA,2004,20.891102
Brazil,BRA,2005,1.83792
Canada,CAN,2005,17.921728
China,CHN,2005,4.336694
France,FRA,2005,6.982644
Germany,DEU,2005,10.617116
India,IND,2005,1.033244
Italy,ITA,2005,8.579223
Japan,JPN,2005,10.052961
Russia,RUS,2005,10.770197
South Korea,KOR,2005,9.431955
United Kingdom,GBR,2005,9.453414
United States,USA,2005,20.786502
Brazil,BRA,2006,1.817249
Canada,CAN,2006,17.547727
China,CHN,2006,4.765171
France,FRA,2006,6.763299
Germany,DEU,2006,10.776677
India,IND,2006,1.080684
Italy,ITA,2006,8.457445
Japan,JPN,2006,9.864499
Russia,RUS,2006,11.201392
South Korea,KOR,2006,9.525489
United Kingdom,GBR,2006,9.331114
United States,USA,2006,20.321975
Brazil,BRA,2007,1.877235
Canada,CAN,2007,18.044413
China,CHN,2007,5.097906
France,FRA,2007,6.549231
Germany,DEU,2007,10.474954
India,IND,2007,1.147655
Italy,ITA,2007,8.301445
Japan,JPN,2007,10.136849
Russia,RUS,2007,11.198217
South Korea,KOR,2007,10.06125
United Kingdom,GBR,2007,9.100134
United States,USA,2007,20.386782
Brazil,BRA,2008,1.980653
Canada,CAN,2008,17.26519
China,CHN,2008,5.448699
France,FRA,2008,6.393369
Germany,DEU,2008,10.543339
India,IND,2008,1.218132
Italy,ITA,2008,8.08238
Japan,JPN,2008,9.583936
Russia,RUS,2008,11.425521
South Korea,KOR,2008,10.283896
United Kingdom,GBR,2008,8.766788
United States,USA,2008,19.541393
Brazil,BRA,2009,1.85722
Canada,CAN,2009,16.077449
China,CHN,2009,5.700109
France,FRA,2009,6.101388
Germany,DEU,2009,9.767561
India,IND,2009,1.324202
Italy,ITA,2009,7.150276
Japan,JPN,2009,9.043972
Russia,RUS,2009,10.666272
South Korea,KOR,2009,10.269406
United Kingdom,GBR,2009,7.867294
United States,USA,2009,17.926518
Brazil,BRA,2010,2.10123
Canada,CAN,2010,16.268884
China,CHN,2010,6.210165
France,FRA,2010,6.19253
Germany,DEU,2010,10.301876
India,IND,2010,1.359884
Italy,ITA,2010,7.310375
Japan,JPN,2010,9.444917
Russia,RUS,2010,11.24126
South Korea,KOR,2010,11.422936
United Kingdom,GBR,2010,8.068448
United States,USA,2010,18.439653
Brazil,BRA,2011,2.176844
Canada,CAN,2011,16.408726
China,CHN,2011,6.820351
France,FRA,2011,5.733825
Germany,DEU,2011,10.010722
India,IND,2011,1.412527
Italy,ITA,2011,7.082506
Japan,JPN,2011,9.83786
Russia,RUS,2011,11.58607
South Korea,KOR,2011,11.818661
